Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
192,168,0,4-107,20,240,48-41112-443-6;192,168,0,4;41112;107,20,240,48;443;6;18/08/2018 10:45:43 AM;153735;0;2;0;0;0;0;0;0;0;0;0;0;0;13,00939929;153735;0;153735;153735;0;0;0;0;0;153735;153735;0;153735;153735;0;0;0;0;0;64;0;13,00939929;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;19;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-107,20,240,48-41112-443-6;192,168,0,4;41112;107,20,240,48;443;6;18/08/2018 10:45:57 AM;111;0;2;0;31;0;0;0;0;31;0;15,5;21,92031022;279279,2793;18018,01802;111;0;111;111;0;0;0;0;0;111;111;0;111;111;0;1;0;0;0;64;0;18018,01802;0;31;20,66666667;17,89785834;320,3333333;0;0;0;1;1;0;0;0;0;31;0;15,5;0;0;0;0;0;0;0;0;2;31;-1;19;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-45,57,7,139-54218-443-6;192,168,0,4;54218;45,57,7,139;443;6;18/08/2018 10:45:45 AM;8213834;395;749;1638;1023558;819;0;4,146835443;58,20342158;2748;206;1366,566088;101,1324645;124813,3332;139,2772243;7186,206474;156144,116;3784777;0;8187161;20779,59645;265642,8278;3784777;54;8213788;10981;194264,402;3810349;15;0;1;0;0;12640;23968;48,08960103;91,18762322;0;2748;896,0829694;653,8132787;427471,8034;0;0;0;1;1;0;0;0;1;896,8662587;4,146835443;1366,566088;0;0;0;0;0;0;395;1638;749;1023558;-1;2049;2;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-45,57,7,139-54220-443-6;192,168,0,4;54220;45,57,7,139;443;6;18/08/2018 10:45:45 AM;120606;81;147;0;199478;0;0;0;0;2748;480;1356,993197;183,6559282;1653964,148;1890,453211;531,3039648;2882,11321;26663;2;95879;1198,4875;4205,749007;29399;78;120163;823,0342466;3581,660594;26896;3;0;1;0;0;2592;4704;671,6083777;1218,844834;0;2748;874,6375546;665,8805242;443396,8724;0;0;0;1;1;0;0;0;1;878,4736842;0;1356,993197;0;0;0;0;0;0;81;0;147;199478;-1;2049;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-52,37,230,216-54740-443-6;192,168,0,4;54740;52,37,230,216;443;6;18/08/2018 10:45:43 AM;227474;0;2;0;0;0;0;0;0;0;0;0;0;0;8,792213616;227474;0;227474;227474;0;0;0;0;0;227474;227474;0;227474;227474;0;0;0;0;0;64;0;8,792213616;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;164;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-52,37,230,216-54728-443-6;192,168,0,4;54728;52,37,230,216;443;6;18/08/2018 10:45:43 AM;237383;0;2;0;0;0;0;0;0;0;0;0;0;0;8,425203153;237383;0;237383;237383;0;0;0;0;0;237383;237383;0;237383;237383;0;0;0;0;0;64;0;8,425203153;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;118;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-54,213,232,186-36980-443-6;192,168,0,4;36980;54,213,232,186;443;6;18/08/2018 10:45:43 AM;237320;0;2;0;0;0;0;0;0;0;0;0;0;0;8,427439744;237320;0;237320;237320;0;0;0;0;0;237320;237320;0;237320;237320;0;0;0;0;0;64;0;8,427439744;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;126;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-45,57,7,162-58654-443-6;192,168,0,4;58654;45,57,7,162;443;6;18/08/2018 10:45:47 AM;25307;0;2;0;0;0;0;0;0;0;0;0;0;0;79,02951752;25307;0;25307;25307;0;0;0;0;0;25307;25307;0;25307;25307;0;0;0;0;0;64;0;79,02951752;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;2049;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-45,57,7,162-58654-443-6;192,168,0,4;58654;45,57,7,162;443;6;18/08/2018 10:46:02 AM;164;0;2;0;31;0;0;0;0;31;0;15,5;21,92031022;189024,3902;12195,12195;164;0;164;164;0;0;0;0;0;164;164;0;164;164;0;1;0;0;0;64;0;12195,12195;0;31;20,66666667;17,89785834;320,3333333;0;0;0;1;1;0;0;0;0;31;0;15,5;0;0;0;0;0;0;0;0;2;31;-1;2049;0;0;0;0;0;0;0;0;0;0;Netflix
192,168,0,4-45,57,7,162-58660-443-6;192,168,0,4;58660;45,57,7,162;443;6;18/08/2018 10:45:47 AM;23207;0;2;0;0;0;0;0;0;0;0;0;0;0;86,1808937;23207;0;23207;23207;0;0;0;0;0;23207;23207;0;23207;23207;0;0;0;0;0;64;0;86,1808937;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;2049;0;0;0;0;0;0;0;0;0;0;Netflix
