Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:35:38 PM,9997750,778,1,14569.0,13.0,112.0,13.0,18.72622107969153,23.125606467819846,13.0,13.0,13.0,0.0,1458.5281688379885,77.91753144457503,12850.578406169674,20087.433105212636,74377.0,264.0,9996042.0,12864.91891891892,20096.386423133445,74377.0,264.0,0,0,0,0,0,0,0,0,0,6224,8,77.81750893951138,0.10002250506363931,13.0,112.0,18.71153846153847,23.097718856460144,533.5046163720746,0,0,0,0,0,0,0,0,0.0,18.73555840821566,18.726221079691516,13.0,0,0,0,0,0,0,778,14569,1,13,-1,-1,778,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:35:41 PM,9441600,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,15.25165226232842,0.31774275546517544,4720800.0,1992448.718474832,6129674.0,3311926.0,6129674.0,6129674.0,0.0,6129674.0,6129674.0,0,0,0,0,0,0,0,0,0,16,8,0.21182850364345027,0.10591425182172513,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,-1,-1,2,0,3311926.0,0.0,3311926.0,3311926.0,6129674.0,0.0,6129674.0,6129674.0,No Label
192.168.0.4-192.168.0.5-41525-5060-6,192.168.0.5,5060,192.168.0.4,41525,6,18/08/2018 03:35:38 PM,46277,1,3,0.0,1512.0,0.0,0.0,0.0,0.0,987.0,0.0,504.0,493.8349926848036,32672.818030555136,86.43602653586015,15425.666666666666,25186.926794139323,44505.0,467.0,0,0,0,0,0,1772.0,886.0,592.5554826343268,1305.0,467.0,0,1,0,0,32,96,21.609006633965038,64.82701990189511,0.0,987.0,499.8,493.70102288733415,243740.7,0,0,0,1,1,0,0,0,3.0,624.75,0.0,504.0,0,0,0,0,0,0,1,0,3,1512,-1,465,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:35:48 PM,9952267,776,1,13751.0,13.0,112.0,13.0,17.720360824742272,21.109432788301795,13.0,13.0,13.0,0.0,1383.0014809691097,78.07266424825619,12825.086340206182,20111.12213039103,70033.0,264.0,9951523.0,12840.67483870968,20119.41786637304,70033.0,264.0,0,0,0,0,0,0,0,0,0,6208,8,77.97218462888907,0.10047961936712509,13.0,112.0,17.708226221079688,21.083604106049428,444.51836210062424,0,0,0,0,0,0,0,0,0.0,17.73101673101673,17.72036082474227,13.0,0,0,0,0,0,0,776,13751,1,13,-1,-1,776,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:35:56 PM,4976098,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,19.292224550239965,0.40192134479666597,4976098.0,0.0,4976098.0,4976098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.20096067239833298,0.20096067239833298,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,1,48,1,48,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:35:58 PM,9963505,775,1,13738.0,13.0,112.0,13.0,17.72645161290323,21.122382648796762,13.0,13.0,13.0,0.0,1380.1368092854875,77.8842385285098,12856.13548387098,19995.55496898738,69724.0,264.0,9962702.0,12871.708010335904,20003.7813812097,69724.0,264.0,0,0,0,0,0,0,0,0,0,6200,8,77.78387224174625,0.10036628676354356,13.0,112.0,17.71428571428571,21.096506631362644,445.062592047128,0,0,0,0,0,0,0,0,0.0,17.737113402061855,17.726451612903226,13.0,0,0,0,0,0,0,775,13738,1,13,-1,-1,775,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:36:08 PM,9999768,774,1,13725.0,13.0,112.0,13.0,17.7325581395349,21.135356285082857,13.0,13.0,13.0,0.0,1373.8318728994514,77.50179804171457,12919.596899224809,19976.725583613337,64855.0,264.0,9999108.0,12935.456662354462,19984.78312398439,64855.0,264.0,0,0,0,0,0,0,0,0,0,6192,8,77.40179572166075,0.10000232005382526,13.0,112.0,17.720360824742272,21.109432788301795,445.6081526438309,0,0,0,0,0,0,0,0,0.0,17.743225806451612,17.732558139534884,13.0,0,0,0,0,0,0,774,13725,1,13,-1,-1,774,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:36:06 PM,8435643,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,17.07042367724665,0.35563382660930526,4217821.5,1687987.6303789965,5411409.0,3024234.0,3024234.0,3024234.0,0.0,3024234.0,3024234.0,0,0,0,0,0,0,0,0,0,16,8,0.23708921773953684,0.11854460886976842,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,-1,-1,2,0,0,0,0,0,5411409.0,0.0,5411409.0,5411409.0,No Label
192.168.0.4-217.10.68.152-42977-3478-17,192.168.0.4,42977,217.10.68.152,3478,17,18/08/2018 03:35:55 PM,538623,2,4,56.0,292.0,28.0,28.0,28.0,0.0,88.0,28.0,73.0,30.0,646.0919789908712,11.139516879152952,107724.6,146879.0578564555,269002.0,70.0,269470.0,269470.0,0.0,269470.0,269470.0,538623.0,179541.0,154353.99765798097,269072.0,1309.0,0,0,0,0,16,32,3.713172293050984,7.426344586101968,28.0,88.0,53.714285714285715,32.071349029490925,1028.5714285714287,0,0,0,0,0,0,0,0,2.0,62.666666666666664,28.0,73.0,0,0,0,0,0,0,2,56,4,292,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.4-192.168.0.5-41525-5060-6,192.168.0.5,5060,192.168.0.4,41525,6,18/08/2018 03:35:58 PM,55120,2,2,2.0,4.0,2.0,0.0,1.0,1.4142135623730951,4.0,0.0,2.0,2.8284271247461903,108.85341074020319,72.56894049346879,18373.333333333336,25489.87077906307,47537.0,350.0,350.0,350.0,0.0,350.0,350.0,55120.0,55120.0,0.0,55120.0,55120.0,0,1,0,0,64,64,36.284470246734394,36.284470246734394,0.0,4.0,2.0,2.0,4.0,0,0,0,1,1,0,0,0,1.0,2.5,1.0,2.0,0,0,0,0,0,0,2,2,2,4,-1,465,1,0,0,0,0,0,0,0,0,0,No Label
