Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:35:38 PM;9997750;778;1;14569,0;13,0;112,0;13,0;1,872,622,107,969,150;23,125,606,467,819,800;13,0;13,0;13,0;0,0;14,585,281,688,379,800;7,791,753,144,457,500;12,850,578,406,169,600;20,087,433,105,212,600;74377,0;264,0;9996042,0;1,286,491,891,891,890;20,096,386,423,133,400;74377,0;264,0;0;0;0;0;0;0;0;0;0;6224;8;7,781,750,893,951,130;0,10002250506363931;13,0;112,0;1,871,153,846,153,840;23,097,718,856,460,100;5,335,046,163,720,740;0;0;0;0;0;0;0;0;0,0;1,873,555,840,821,560;18,726,221,079,691,500;13,0;0;0;0;0;0;0;778;14569;1;13;-1;-1;778;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:35:41 PM;9441600;2;1;96,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;1,525,165,226,232,840;0,31774275546517544;4720800,0;1,992,448,718,474,830;6129674,0;3311926,0;6129674,0;6129674,0;0,0;6129674,0;6129674,0;0;0;0;0;0;0;0;0;0;16;8;0,21182850364345027;0,10591425182172513;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;0,0;64,0;48,0;48,0;0;0;0;0;0;0;2;96;1;48;-1;-1;2;0;3311926,0;0,0;3311926,0;3311926,0;6129674,0;0,0;6129674,0;6129674,0;VoIP
192,168,0,4-192,168,0,5-41525-5060-6;192,168,0,5;5060;192,168,0,4;41525;6;18/08/2018 03:35:38 PM;46277;1;3;0,0;1512,0;0,0;0,0;0,0;0,0;987,0;0,0;504,0;4,938,349,926,848,030;32,672,818,030,555,100;8,643,602,653,586,010;15,425,666,666,666,600;25,186,926,794,139,300;44505,0;467,0;0;0;0;0;0;1772,0;886,0;5,925,554,826,343,260;1305,0;467,0;0;1;0;0;32;96;21,609,006,633,965,000;6,482,701,990,189,510;0,0;987,0;499,8;49,370,102,288,733,400;243740,7;0;0;0;1;1;0;0;0;3,0;624,75;0,0;504,0;0;0;0;0;0;0;1;0;3;1512;-1;465;0;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:35:48 PM;9952267;776;1;13751,0;13,0;112,0;13,0;17,720,360,824,742,200;21,109,432,788,301,700;13,0;13,0;13,0;0,0;13,830,014,809,691,000;7,807,266,424,825,610;12,825,086,340,206,100;2,011,112,213,039,100;70033,0;264,0;9951523,0;1,284,067,483,870,960;2,011,941,786,637,300;70033,0;264,0;0;0;0;0;0;0;0;0;0;6208;8;7,797,218,462,888,900;0,10047961936712509;13,0;112,0;17,708,226,221,079,600;21,083,604,106,049,400;44,451,836,210,062,400;0;0;0;0;0;0;0;0;0,0;1,773,101,673,101,670;1,772,036,082,474,220;13,0;0;0;0;0;0;0;776;13751;1;13;-1;-1;776;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:35:56 PM;4976098;1;1;48,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;19,292,224,550,239,900;0,40192134479666597;4976098,0;0,0;4976098,0;4976098,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0,20096067239833298;0,20096067239833298;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;1,0;72,0;48,0;48,0;0;0;0;0;0;0;1;48;1;48;-1;-1;1;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:35:58 PM;9963505;775;1;13738,0;13,0;112,0;13,0;1,772,645,161,290,320;21,122,382,648,796,700;13,0;13,0;13,0;0,0;13,801,368,092,854,800;778,842,385,285,098;1,285,613,548,387,090;1,999,555,496,898,730;69724,0;264,0;9962702,0;12,871,708,010,335,900;200,037,813,812,097;69724,0;264,0;0;0;0;0;0;0;0;0;0;6200;8;7,778,387,224,174,620;0,10036628676354356;13,0;112,0;1,771,428,571,428,570;21,096,506,631,362,600;445,062,592,047,128;0;0;0;0;0;0;0;0;0,0;17,737,113,402,061,800;17,726,451,612,903,200;13,0;0;0;0;0;0;0;775;13738;1;13;-1;-1;775;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:36:08 PM;9999768;774;1;13725,0;13,0;112,0;13,0;177,325,581,395,349;21,135,356,285,082,800;13,0;13,0;13,0;0,0;13,738,318,728,994,500;7,750,179,804,171,450;12,919,596,899,224,800;19,976,725,583,613,300;64855,0;264,0;9999108,0;12,935,456,662,354,400;1,998,478,312,398,430;64855,0;264,0;0;0;0;0;0;0;0;0;0;6192;8;7,740,179,572,166,070;0,10000232005382526;13,0;112,0;17,720,360,824,742,200;21,109,432,788,301,700;4,456,081,526,438,300;0;0;0;0;0;0;0;0;0,0;17,743,225,806,451,600;17,732,558,139,534,800;13,0;0;0;0;0;0;0;774;13725;1;13;-1;-1;774;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:36:06 PM;8435643;2;1;96,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;1,707,042,367,724,660;0,35563382660930526;4217821,5;16,879,876,303,789,900;5411409,0;3024234,0;3024234,0;3024234,0;0,0;3024234,0;3024234,0;0;0;0;0;0;0;0;0;0;16;8;0,23708921773953684;0,11854460886976842;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;0,0;64,0;48,0;48,0;0;0;0;0;0;0;2;96;1;48;-1;-1;2;0;0;0;0;0;5411409,0;0,0;5411409,0;5411409,0;VoIP
192,168,0,4-192,168,0,5-41525-5060-6;192,168,0,5;5060;192,168,0,4;41525;6;18/08/2018 03:35:58 PM;55120;2;2;2,0;4,0;2,0;0,0;1,0;14,142,135,623,730,900;4,0;0,0;2,0;28,284,271,247,461,900;10,885,341,074,020,300;7,256,894,049,346,870;18,373,333,333,333,300;2,548,987,077,906,300;47537,0;350,0;350,0;350,0;0,0;350,0;350,0;55120,0;55120,0;0,0;55120,0;55120,0;0;1;0;0;64;64;36,284,470,246,734,300;36,284,470,246,734,300;0,0;4,0;2,0;2,0;4,0;0;0;0;1;1;0;0;0;1,0;2,5;1,0;2,0;0;0;0;0;0;0;2;2;2;4;-1;465;1;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:36:18 PM;9980127;777;1;13764,0;13,0;112,0;13,0;1,771,428,571,428,570;21,096,506,631,362,600;13,0;13,0;13,0;0,0;13,804,433,550,795,400;7,795,491,981,214,260;12,844,436,293,436,200;20,004,740,917,895,700;73036,0;266,0;9979256,0;12,859,865,979,381,400;20,013,016,010,072,900;73036,0;266,0;0;0;0;0;0;0;0;0;0;6216;8;7,785,472,068,642,010;0,10019912572254842;13,0;112,0;1,770,218,228,498,070;21,070,725,140,736,000;443,975,457,956,447;0;0;0;0;0;0;0;0;0,0;17,724,935,732,647,800;17,714,285,714,285,700;13,0;0;0;0;0;0;0;777;13764;1;13;-1;-1;777;0;0;0;0;0;0;0;0;0;VoIP
