Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
192.168.0.1-192.168.0.2-9000-59538-6;192.168.0.2;59538;192.168.0.1;9000;6;23/08/2018 05:55:22 PM;9000,00;0,00;2,00;0.0;0.0;0,00;0,00;0,00;0,00;0.0;0.0;0.0;0.0;0.0;22222200000000000,00;9000.0;0.0;9000.0;9000.0;0,00;0,00;0,00;0,00;0,00;9000.0;9000.0;0.0;9000.0;9000.0;0,00;0,00;0,00;0,00;0,00;64,00;0.0;22222200000000000,00;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0.0;0.0;0.0;0.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;-1,00;227,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-39486-17;192.168.0.2;39486;192.168.0.1;8999;17;23/08/2018 01:39:48 PM;9974810,00;235,00;1,00;10448.0;40.0;58.0;25.0;44459600000000000,00;765505000000000,00;40.0;40.0;40.0;0.0;10514500000000000,00;2365960000000000,00;42446000000000000,00;5308120000000000,00;110922.0;26395.0;9932079.0;42444800000000000,00;5319460000000000,00;110922.0;26395.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1880,00;8,00;23559300000000000,00;0.10025253613853297;25.0;58.0;4442190000000000,00;76335000000000000,00;5827040000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;44610200000000000,00;4445960000000000,00;40.0;0,00;0,00;0,00;0,00;0,00;0,00;235,00;10448,00;1,00;40,00;-1,00;-1,00;235,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-52339-17;192.168.0.2;52339;192.168.0.1;8999;17;23/08/2018 04:05:58 PM;9968125,00;234,00;1,00;10214.0;34.0;61.0;24.0;4364960000000000,00;816284000000000,00;34.0;34.0;34.0;0.0;10280800000000000,00;2357510000000000,00;4259880000000000,00;6317150000000000,00;108358.0;130.0;9924780.0;4259560000000000,00;6330560000000000,00;108358.0;130.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1872,00;8,00;2347480000000000,00;0.10031976926453069;24.0;61.0;43567800000000000,00;8176230000000000,00;668507000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;43753200000000000,00;4364960000000000,00;34.0;0,00;0,00;0,00;0,00;0,00;0,00;234,00;10214,00;1,00;34,00;-1,00;-1,00;234,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-56032-17;192.168.0.2;56032;192.168.0.1;8999;17;23/08/2018 01:02:41 PM;9993337,00;232,00;1,00;10120.0;45.0;58.0;23.0;4362070000000000,00;823639000000000,00;45.0;45.0;45.0;0.0;10171800000000000,00;2331550000000000,00;4307470000000000,00;1566500000000000,00;266003.0;101.0;9954687.0;4309390000000000,00;15696300000000000,00;266003.0;101.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1856,00;8,00;23215500000000000,00;0.10006667442516949;23.0;58.0;4363250000000000,00;8201960000000000,00;6727210000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4381970000000000,00;4362070000000000,00;45.0;0,00;0,00;0,00;0,00;0,00;0,00;232,00;10120,00;1,00;45,00;-1,00;-1,00;232,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.3-224.0.0.251-5353-5353-17;192.168.0.3;5353;224.0.0.251;5353;17;23/08/2018 04:30:30 PM;772625,00;5,00;1,00;309.0;39.0;77.0;39.0;61.8;2081350000000000,00;39.0;39.0;39.0;0.0;4504130000000000,00;7765730000000000,00;154525.0;33471400000000000,00;753094.0;58.0;772567.0;193141.75;3734110000000000,00;753094.0;60.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;8,00;6471440000000000,00;12942900000000000,00;39.0;77.0;5528570000000000,00;20311900000000000,00;4125710000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;64.5;61.8;39.0;0,00;0,00;0,00;0,00;0,00;0,00;5,00;309,00;1,00;39,00;-1,00;-1,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-9000-59458-6;192.168.0.2;59458;192.168.0.1;9000;6;23/08/2018 05:41:49 PM;6371314,00;3,00;7,00;7.0;7.0;5.0;1.0;23333300000000000,00;2309400000000000,00;5.0;0.0;0.9999999999999999;1825740000000000,00;21973500000000000,00;15695300000000000,00;7079240000000000,00;17756100000000000,00;5359969.0;68.0;6366928.0;3183464.0;30829300000000000,00;5363423.0;1003505.0;6371314.0;10618900000000000,00;21436700000000000,00;5360835.0;68.0;0,00;1,00;0,00;0,00;96,00;224,00;0.4708604849800214;10986700000000000,00;0.0;5.0;13636400000000000,00;18586400000000000,00;34545500000000000,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;2.0;1.5;23333300000000000,00;1.0;0,00;0,00;0,00;0,00;0,00;0,00;3,00;7,00;7,00;7,00;-1,00;227,00;3,00;0,00;7534.0;0.0;7534.0;7534.0;5359969.0;0.0;5359969.0;5359969.0;Counter-Strike
192.168.0.1-192.168.0.2-8999-39419-17;192.168.0.2;39419;192.168.0.1;8999;17;23/08/2018 01:03:48 PM;422688,00;10,00;1,00;384.0;33.0;48.0;30.0;38.4;6275170000000000,00;33.0;33.0;33.0;0.0;9865430000000000,00;26023900000000000,00;42268800000000000,00;4199110000000000,00;42871.0;41700.0;380751.0;42305700000000000,00;42787400000000000,00;42871.0;41700.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80,00;8,00;23658100000000000,00;2365810000000000,00;30.0;48.0;3750000000000000,00;6052800000000000,00;3663640000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4090910000000000,00;38.4;33.0;0,00;0,00;0,00;0,00;0,00;0,00;10,00;384,00;1,00;33,00;-1,00;-1,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-53588-17;192.168.0.2;53588;192.168.0.1;8999;17;23/08/2018 12:55:40 PM;9979004,00;85,00;1,00;3668.0;50.0;55.0;26.0;43152900000000000,00;7794240000000000,00;50.0;50.0;50.0;0.0;3725820000000000,00;861809000000000,00;11740000000000000,00;6993700000000000,00;6489082.0;111.0;9937777.0;118307000000000,00;7035200000000000,00;6489082.0;111.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;680,00;8,00;8517880000000000,00;0.10021040175953431;26.0;55.0;43310300000000000,00;7771910000000000,00;6040260000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4381400000000000,00;4315290000000000,00;50.0;0,00;0,00;0,00;0,00;0,00;0,00;85,00;3668,00;1,00;50,00;-1,00;-1,00;85,00;0,00;1751023.0;0.0;1751023.0;1751023.0;6489082.0;0.0;6489082.0;6489082.0;Counter-Strike
192.168.0.1-192.168.0.2-8999-45891-17;192.168.0.2;45891;192.168.0.1;8999;17;23/08/2018 03:09:28 PM;9968149,00;233,00;1,00;10077.0;50.0;57.0;21.0;4324890000000000,00;7912660000000000,00;50.0;50.0;50.0;0.0;10159400000000000,00;23474800000000000,00;42781800000000000,00;13215700000000000,00;229936.0;120.0;9923514.0;4277380000000000,00;1324370000000000,00;229936.0;120.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1864,00;8,00;23374400000000000,00;0.1003195277277657;21.0;57.0;4330640000000000,00;7903250000000000,00;62461300000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4349150000000000,00;4324890000000000,00;50.0;0,00;0,00;0,00;0,00;0,00;0,00;233,00;10077,00;1,00;50,00;-1,00;-1,00;233,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-53097-17;192.168.0.2;53097;192.168.0.1;8999;17;23/08/2018 04:36:30 PM;9977900,00;234,00;1,00;10090.0;48.0;57.0;23.0;4311970000000000,00;7913870000000000,00;48.0;48.0;48.0;0.0;10160500000000000,00;23552100000000000,00;42640600000000000,00;30279500000000000,00;65984.0;31391.0;9936031.0;42643900000000000,00;3034040000000000,00;65984.0;31391.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1872,00;8,00;23451800000000000,00;0.10022148949177682;23.0;57.0;4316100000000000,00;78928700000000000,00;6229740000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4334470000000000,00;4311970000000000,00;48.0;0,00;0,00;0,00;0,00;0,00;0,00;234,00;10090,00;1,00;48,00;-1,00;-1,00;234,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
